[2026-07-13T21:25:55.430Z] GET http://localhost:8797/deck/site/index.html → 200 (9ms, 12647B)
[2026-07-13T21:26:07.696Z] GET https://maps.googleapis.com/maps/api/js?key=AIzaSyCmL18misQw9KdwqGaw3zHkitj8vG6QF2Y&paint_origin=&libraries=geometry,search&v=weekly&loading=async&language=en_US&experimentation=allowed&callback=onApiLoad → 200 (88ms, 3018B)
[2026-07-13T21:26:07.787Z] GET https://maps.googleapis.com/maps-api-v3/api/js/65/6a/search.js → 200 (26ms, 1530B)
[2026-07-13T21:26:07.787Z] GET https://maps.googleapis.com/maps-api-v3/api/js/65/6a/geometry.js → 200 (29ms, 2622B)
[2026-07-13T21:26:07.787Z] GET https://maps.googleapis.com/maps-api-v3/api/js/65/6a/main.js → 200 (67ms, 84742B)
[2026-07-13T21:26:07.884Z] GET https://maps.googleapis.com/maps/api/mapsjs/gen_204?csp_test=true → 200 (28ms, 46B)
[2026-07-13T21:26:07.908Z] GET https://maps.googleapis.com/maps-api-v3/api/js/65/6a/common.js → 200 (51ms, 38042B)
[2026-07-13T21:26:07.908Z] GET https://maps.googleapis.com/maps-api-v3/api/js/65/6a/util.js → 200 (70ms, 71709B)
[2026-07-13T21:26:07.908Z] GET https://maps.googleapis.com/maps-api-v3/api/js/65/6a/map.js → 200 (56ms, 25898B)
[2026-07-13T21:26:07.908Z] GET https://maps.googleapis.com/maps-api-v3/api/js/65/6a/controls.js → 200 (61ms, 26436B)
[2026-07-13T21:26:07.908Z] GET https://maps.googleapis.com/maps-api-v3/api/js/65/6a/places_impl.js → 200 (46ms, 3409B)
[2026-07-13T21:26:07.908Z] GET https://maps.googleapis.com/maps-api-v3/api/js/65/6a/places.js → 200 (76ms, 84082B)
[2026-07-13T21:26:07.909Z] GET https://maps.googleapis.com/maps/api/js/StaticMapService.GetMapImage?1m2&1i1450025&2i3358952&2e1&3u15&4m2&1u538&2u240&5m6&1e0&5sen-US&6sus&10b1&12b1&14i47083502&8e1&key=AIzaSyCmL18misQw9KdwqGaw3zHkitj8vG6QF2Y&token=94148 → 200 (94ms, 39035B)
[2026-07-13T21:26:07.911Z] GET https://maps.googleapis.com/maps-api-v3/api/js/65/6a/onion.js → 200 (53ms, 10131B)
[2026-07-13T21:26:07.911Z] GET https://maps.googleapis.com/maps-api-v3/api/js/65/6a/search_impl.js → 200 (53ms, 1342B)
[2026-07-13T21:26:35.351Z] GET http://localhost:8797/deck/site/classes.html → 200 (2ms, ?B)
[2026-07-13T21:26:35.357Z] GET https://fonts.googleapis.com/css2?family=Podkova:wght@400;500;600;700;800&family=Inter:ital,wght@0,400;0,500;0,600;0,700;1,400&display=swap → 200 (?ms, -743B)
[2026-07-13T21:26:35.358Z] GET http://localhost:8797/deck/site/site.css?v=1 → 304 (?ms, ?B)
[2026-07-13T21:26:35.358Z] GET http://localhost:8797/deck/assets/img/pd-logo.jpg → 200 (?ms, -188B)
[2026-07-13T21:26:35.360Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, -815B)
[2026-07-13T21:26:35.360Z] GET https://fonts.gstatic.com/s/podkova/v33/K2FxfZ1EmftJSV9VaJnzJ6CiDyo.woff2 → 200 (?ms, -815B)
[2026-07-13T21:27:09.940Z] GET http://localhost:8797/deck/site/enroll.html → 200 (1ms, ?B)
[2026-07-13T21:27:09.944Z] GET https://fonts.googleapis.com/css2?family=Podkova:wght@400;500;600;700;800&family=Inter:ital,wght@0,400;0,500;0,600;0,700;1,400&display=swap → 200 (1ms, -743B)
[2026-07-13T21:27:09.945Z] GET http://localhost:8797/deck/site/site.css?v=1 → 200 (?ms, -186B)
[2026-07-13T21:27:09.945Z] GET http://localhost:8797/deck/assets/img/pd-logo.jpg → 200 (?ms, -188B)
[2026-07-13T21:27:09.945Z] GET http://localhost:8797/deck/assets/img/instr-lori.jpg → 200 (?ms, -188B)
[2026-07-13T21:27:09.952Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, -815B)
[2026-07-13T21:27:09.952Z] GET https://fonts.gstatic.com/s/podkova/v33/K2FxfZ1EmftJSV9VaJnzJ6CiDyo.woff2 → 200 (?ms, -815B)
[2026-07-13T21:29:32.156Z] GET https://mghenry13.github.io/pacific-dance-brand-guide/site/classes.html → 200 (97ms, 3904B)
[2026-07-13T21:29:32.266Z] GET https://fonts.googleapis.com/css2?family=Podkova:wght@400;500;600;700;800&family=Inter:ital,wght@0,400;0,500;0,600;0,700;1,400&display=swap → 200 (?ms, -698B)
[2026-07-13T21:29:32.266Z] GET https://mghenry13.github.io/pacific-dance-brand-guide/site/site.css?v=1 → 200 (70ms, 4226B)
[2026-07-13T21:29:32.266Z] GET https://mghenry13.github.io/pacific-dance-brand-guide/assets/img/pd-logo.jpg → 200 (87ms, 18780B)
[2026-07-13T21:29:32.353Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (1ms, -815B)
[2026-07-13T21:29:32.353Z] GET https://fonts.gstatic.com/s/podkova/v33/K2FxfZ1EmftJSV9VaJnzJ6CiDyo.woff2 → 200 (1ms, -815B)
[2026-07-13T21:29:32.479Z] GET https://mghenry13.github.io/pacific-dance-brand-guide/site/index.html → 200 (70ms, 4169B)
[2026-07-13T21:29:32.554Z] GET https://fonts.googleapis.com/css2?family=Podkova:wght@400;500;600;700;800&family=Inter:ital,wght@0,400;0,500;0,600;0,700;1,400&display=swap → 200 (?ms, -698B)
[2026-07-13T21:29:32.555Z] GET https://mghenry13.github.io/pacific-dance-brand-guide/site/site.css?v=1 → 200 (?ms, -697B)
[2026-07-13T21:29:32.555Z] GET https://mghenry13.github.io/pacific-dance-brand-guide/assets/img/pd-logo.jpg → 200 (?ms, -659B)
[2026-07-13T21:29:32.555Z] GET https://mghenry13.github.io/pacific-dance-brand-guide/site/assets/img/hero-navy.jpg → 404 (74ms, 9379B)
[2026-07-13T21:29:32.555Z] GET https://mghenry13.github.io/pacific-dance-brand-guide/assets/img/tutu-white.jpg → pending (?ms, ?B)
[2026-07-13T21:29:32.555Z] GET https://mghenry13.github.io/pacific-dance-brand-guide/assets/img/leap-denim.jpg → 200 (257ms, 501045B)
[2026-07-13T21:29:32.556Z] GET https://mghenry13.github.io/pacific-dance-brand-guide/assets/img/instr-lori.jpg → 200 (107ms, 46346B)
[2026-07-13T21:29:32.556Z] GET https://mghenry13.github.io/pacific-dance-brand-guide/assets/img/instr-erin.jpg → 200 (62ms, 24966B)
[2026-07-13T21:29:32.556Z] GET https://mghenry13.github.io/pacific-dance-brand-guide/assets/img/instr-chadd.jpg → 200 (85ms, 57558B)
[2026-07-13T21:29:32.556Z] GET https://mghenry13.github.io/pacific-dance-brand-guide/assets/img/instr-roberta.jpg → 200 (107ms, 50837B)
[2026-07-13T21:29:32.556Z] GET https://mghenry13.github.io/pacific-dance-brand-guide/assets/img/ba-ediface-after.jpg → 200 (122ms, 574700B)
[2026-07-13T21:29:32.556Z] GET https://mghenry13.github.io/pacific-dance-brand-guide/assets/img/ba-studio-after.jpg → 200 (788ms, 505271B)
[2026-07-13T21:29:32.556Z] GET https://mghenry13.github.io/pacific-dance-brand-guide/assets/img/ba-trophy-after.jpg → 200 (490ms, 791455B)
[2026-07-13T21:29:32.556Z] GET https://mghenry13.github.io/pacific-dance-brand-guide/assets/img/scorpion-black.jpg → 200 (145ms, 922601B)
[2026-07-13T21:29:32.569Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, -815B)
[2026-07-13T21:29:32.569Z] GET https://fonts.gstatic.com/s/podkova/v33/K2FxfZ1EmftJSV9VaJnzJ6CiDyo.woff2 → 200 (?ms, -815B)
[2026-07-13T21:29:32.569Z] GET https://mghenry13.github.io/pacific-dance-brand-guide/assets/video/hero-loop.mp4 → 206 (182ms, 3066891B)
[2026-07-13T21:36:37.680Z] GET http://localhost:8797/deck/site/classes.html?v=2 → 200 (30ms, ?B)
[2026-07-13T21:36:37.900Z] GET https://fonts.googleapis.com/css2?family=Podkova:wght@400;500;600;700;800&family=Inter:ital,wght@0,400;0,500;0,600;0,700;1,400&display=swap → 200 (2ms, -698B)
[2026-07-13T21:36:37.900Z] GET http://localhost:8797/deck/site/site.css?v=1 → 200 (2ms, 17633B)
[2026-07-13T21:36:37.900Z] GET http://localhost:8797/deck/assets/img/pd-logo.jpg → 200 (2ms, -188B)
[2026-07-13T21:36:37.920Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (1ms, -815B)
[2026-07-13T21:36:37.920Z] GET https://fonts.gstatic.com/s/podkova/v33/K2FxfZ1EmftJSV9VaJnzJ6CiDyo.woff2 → 200 (17ms, -815B)
[2026-07-13T21:40:45.620Z] GET http://localhost:8797/deck/site/index.html?fix=1 → 200 (3ms, 12647B)
[2026-07-13T21:40:45.643Z] GET https://fonts.googleapis.com/css2?family=Podkova:wght@400;500;600;700;800&family=Inter:ital,wght@0,400;0,500;0,600;0,700;1,400&display=swap → 200 (?ms, -698B)
[2026-07-13T21:40:45.643Z] GET http://localhost:8797/deck/site/site.css?v=1 → 304 (3ms, ?B)
[2026-07-13T21:40:45.645Z] GET http://localhost:8797/deck/assets/img/pd-logo.jpg → 200 (?ms, -188B)
[2026-07-13T21:40:45.645Z] GET http://localhost:8797/deck/site/assets/img/hero-navy.jpg → 404 (1ms, 285B)
[2026-07-13T21:40:45.645Z] GET http://localhost:8797/deck/assets/img/tutu-white.jpg → 200 (1ms, -189B)
[2026-07-13T21:40:45.645Z] GET http://localhost:8797/deck/assets/img/leap-denim.jpg → 200 (1ms, -189B)
[2026-07-13T21:40:45.645Z] GET http://localhost:8797/deck/assets/img/instr-lori.jpg → 200 (14ms, ?B)
[2026-07-13T21:40:45.645Z] GET http://localhost:8797/deck/assets/img/instr-erin.jpg → 200 (14ms, ?B)
[2026-07-13T21:40:45.645Z] GET http://localhost:8797/deck/assets/img/instr-chadd.jpg → 200 (14ms, ?B)
[2026-07-13T21:40:45.645Z] GET http://localhost:8797/deck/assets/img/instr-roberta.jpg → 200 (1ms, ?B)
[2026-07-13T21:40:45.645Z] GET http://localhost:8797/deck/assets/img/ba-ediface-after.jpg → 200 (1ms, -189B)
[2026-07-13T21:40:45.645Z] GET http://localhost:8797/deck/assets/img/ba-studio-after.jpg → 200 (1ms, -189B)
[2026-07-13T21:40:45.645Z] GET http://localhost:8797/deck/assets/img/ba-trophy-after.jpg → 200 (14ms, -189B)
[2026-07-13T21:40:45.645Z] GET http://localhost:8797/deck/assets/img/scorpion-black.jpg → 200 (14ms, -189B)
[2026-07-13T21:40:45.657Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, -815B)
[2026-07-13T21:40:45.658Z] GET https://fonts.gstatic.com/s/podkova/v33/K2FxfZ1EmftJSV9VaJnzJ6CiDyo.woff2 → 200 (?ms, -815B)
[2026-07-13T21:40:45.660Z] GET http://localhost:8797/deck/assets/video/hero-loop.mp4 → 206 (8ms, ?B)
[2026-07-13T21:40:47.340Z] GET http://localhost:8797/deck/site/classes.html?fix=1 → 200 (2ms, 11677B)
[2026-07-13T21:40:47.347Z] GET https://fonts.googleapis.com/css2?family=Podkova:wght@400;500;600;700;800&family=Inter:ital,wght@0,400;0,500;0,600;0,700;1,400&display=swap → 200 (?ms, -698B)
[2026-07-13T21:40:47.347Z] GET http://localhost:8797/deck/site/site.css?v=1 → 200 (?ms, -186B)
[2026-07-13T21:40:47.347Z] GET http://localhost:8797/deck/assets/img/pd-logo.jpg → 200 (?ms, -188B)
[2026-07-13T21:40:47.354Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, -815B)
[2026-07-13T21:40:47.354Z] GET https://fonts.gstatic.com/s/podkova/v33/K2FxfZ1EmftJSV9VaJnzJ6CiDyo.woff2 → 200 (?ms, -815B)
[2026-07-13T21:40:47.451Z] GET http://localhost:8797/deck/site/index.html → 200 (8ms, 12647B)
[2026-07-13T21:40:47.460Z] GET https://fonts.googleapis.com/css2?family=Podkova:wght@400;500;600;700;800&family=Inter:ital,wght@0,400;0,500;0,600;0,700;1,400&display=swap → 200 (?ms, -698B)
[2026-07-13T21:40:47.460Z] GET http://localhost:8797/deck/site/site.css?v=1 → 200 (?ms, -186B)
[2026-07-13T21:40:47.460Z] GET http://localhost:8797/deck/assets/img/pd-logo.jpg → 200 (1ms, -188B)
[2026-07-13T21:40:47.461Z] GET http://localhost:8797/deck/site/assets/img/hero-navy.jpg → 404 (2ms, 285B)
[2026-07-13T21:40:47.461Z] GET http://localhost:8797/deck/assets/img/tutu-white.jpg → 200 (?ms, -189B)
[2026-07-13T21:40:47.461Z] GET http://localhost:8797/deck/assets/img/leap-denim.jpg → 200 (?ms, -189B)
[2026-07-13T21:40:47.461Z] GET http://localhost:8797/deck/assets/img/instr-lori.jpg → 200 (?ms, -188B)
[2026-07-13T21:40:47.461Z] GET http://localhost:8797/deck/assets/img/instr-erin.jpg → 200 (?ms, -188B)
[2026-07-13T21:40:47.461Z] GET http://localhost:8797/deck/assets/img/instr-chadd.jpg → 200 (?ms, -188B)
[2026-07-13T21:40:47.461Z] GET http://localhost:8797/deck/assets/img/instr-roberta.jpg → 200 (?ms, -188B)
[2026-07-13T21:40:47.462Z] GET http://localhost:8797/deck/assets/img/ba-ediface-after.jpg → 200 (?ms, -189B)
[2026-07-13T21:40:47.462Z] GET http://localhost:8797/deck/assets/img/ba-studio-after.jpg → 200 (?ms, -189B)
[2026-07-13T21:40:47.462Z] GET http://localhost:8797/deck/assets/img/ba-trophy-after.jpg → 200 (?ms, -189B)
[2026-07-13T21:40:47.462Z] GET http://localhost:8797/deck/assets/img/scorpion-black.jpg → 200 (1ms, -189B)
[2026-07-13T21:40:47.463Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, -815B)
[2026-07-13T21:40:47.463Z] GET https://fonts.gstatic.com/s/podkova/v33/K2FxfZ1EmftJSV9VaJnzJ6CiDyo.woff2 → 200 (?ms, -815B)
[2026-07-13T21:46:55.826Z] GET http://localhost:8797/deck/site/index.html?vid=2 → 200 (32ms, 12647B)
[2026-07-13T21:46:55.979Z] GET https://fonts.googleapis.com/css2?family=Podkova:wght@400;500;600;700;800&family=Inter:ital,wght@0,400;0,500;0,600;0,700;1,400&display=swap → 200 (?ms, -698B)
[2026-07-13T21:46:55.980Z] GET http://localhost:8797/deck/site/site.css?v=1 → 304 (1ms, ?B)
[2026-07-13T21:46:55.980Z] GET http://localhost:8797/deck/assets/img/pd-logo.jpg → 200 (?ms, -188B)
